trndesc,player,club_badge,club,fee
Departures 09/10,Alan Hutton,,Sunderland,loan transfer
Departures 09/10,Kyle Naughton,,Middlesbrough,loan transfer
Departures 09/10,Andros Townsend,,MK Dons,loan transfer
Departures 09/10,Simon Dawkins,,Without Club,-
Arrivals 08/09,Luka Modric,,Dinamo Zagreb,£20.25m
Arrivals 08/09,David Bentley,,Blackburn,£19.80m
Arrivals 08/09,Roman Pavlyuchenko,,Spartak Moscow,£15.66m
Arrivals 08/09,Robbie Keane,,Liverpool,£15.03m
Arrivals 08/09,Jermain Defoe,,Portsmouth,£14.76m
Arrivals 08/09,Wilson Palacios,,Wigan,£13.50m
Arrivals 08/09,Vedran Corluka,,Man City,£12.38m
Arrivals 08/09,Heurelho Gomes,,PSV Eindhoven,£8.10m
Arrivals 08/09,Giovani dos Santos,,FC Barcelona,£5.40m
Arrivals 08/09,Pascal Chimbonda,,Sunderland,£2.88m
Arrivals 08/09,John Bostock,,Crystal Palace,£1.80m
Arrivals 08/09,César Sánchez,,Real Zaragoza,free transfer
Arrivals 08/09,Fraizer Campbell,,Man Utd,loan transfer
Arrivals 08/09,Carlo Cudicini,,Chelsea,free transfer
Arrivals 08/09,Adam Smith,,Spurs U18,-
Arrivals 08/09,David Hutton,,Spurs U18,-
Arrivals 08/09,Andros Townsend,,Spurs U18,-
Arrivals 08/09,Charlie Daniels,,Gillingham FC,End of loan
Arrivals 08/09,Ben Alnwick,,Carlisle United,End of loan
Arrivals 08/09,David Button,,Grays Athletic FC,End of loan
Arrivals 08/09,Tomas Pekhart,,Southampton,End of loan
Arrivals 08/09,Simon Dawkins,,Leyton Orient,End of loan
Arrivals 08/09,Leigh Mills,,Gillingham FC,End of loan
Arrivals 08/09,Jonathan Obika,,Spurs U18,-
Arrivals 08/09,Cian Hughton,,Spurs U18,-
Arrivals 08/09,David Button,,Bournemouth,End of loan
Arrivals 08/09,Danny Hutchins,,Spurs U18,-
Arrivals 08/09,Andy Barcham,,Gillingham FC,End of loan
Arrivals 08/09,Tomas Pekhart,,Tottenham U21,-
Arrivals 08/09,Jonathan Obika,,Yeovil Town,End of loan
Arrivals 08/09,Andros Townsend,,Yeovil Town,End of loan
Arrivals 08/09,Adel Taarabt,,QPR,End of loan
Arrivals 08/09,Dorian Dervite,,Southend United,End of loan
Arrivals 08/09,Danny Rose,,Watford,End of loan
Arrivals 08/09,Chris Gunter,,Nottm Forest,End of loan
Arrivals 08/09,David Button,,Luton,End of loan
Departures 08/09,Dimitar Berbatov,,Man Utd,£34.20m
Departures 08/09,Robbie Keane,,Liverpool,£21.60m
Departures 08/09,Younès Kaboul,,Portsmouth,£5.63m
Departures 08/09,Steed Malbranque,,Sunderland,£4.50m
Departures 08/09,Paul Robinson,,Blackburn,£3.96m
Departures 08/09,Pascal Chimbonda,,Sunderland,£2.88m
Departures 08/09,Anthony Gardner,,Hull City,£2.88m
Departures 08/09,Teemu Tainio,,Sunderland,£2.70m
Departures 08/09,Young-pyo Lee,,Bor. Dortmund,£450Th.
Departures 08/09,Tommy Forecast,,Southampton,£360Th.
Departures 08/09,Kevin-Prince Boateng,,Bor. Dortmund,Loan fee:£90Th.
Departures 08/09,Radek Cerny,,QPR,free transfer
Departures 08/09,David Button,,Dag & Red FC,loan transfer
Departures 08/09,Leigh Mills,,Gillingham FC,loan transfer
Departures 08/09,Charlie Daniels,,Gillingham FC,loan transfer
Departures 08/09,Tomas Pekhart,,Southampton,loan transfer
Departures 08/09,David Button,,Grays Athletic FC,loan transfer
Departures 08/09,Andy Barcham,,Gillingham FC,loan transfer
Departures 08/09,Ben Alnwick,,Carlisle United,loan transfer
Departures 08/09,David Button,,Luton,loan transfer
Departures 08/09,Charlie Daniels,,Leyton Orient,free transfer
Departures 08/09,David Button,,Bournemouth,loan transfer
Departures 08/09,César Sánchez,,Valencia,free transfer
Departures 08/09,Dorian Dervite,,Southend United,loan transfer
Departures 08/09,Andy Barcham,,Gillingham FC,free transfer
Departures 08/09,Hossam Ghaly,,Al-Nassr,free transfer
Departures 08/09,Danny Hutchins,,Yeovil Town,free transfer
Departures 08/09,Paul Stalteri,,Bor. M'gladbach,free transfer
Departures 08/09,Chris Gunter,,Nottm Forest,loan transfer
Departures 08/09,Adel Taarabt,,QPR,loan transfer
Departures 08/09,Giovani dos Santos,,Ipswich,loan transfer
Departures 08/09,Danny Rose,,Watford,loan transfer
Departures 08/09,Jonathan Obika,,Yeovil Town,loan transfer
Departures 08/09,David Hutton,,Cheltenham,loan transfer
Departures 08/09,Andros Townsend,,Yeovil Town,loan transfer
Departures 08/09,Tomas Pekhart,,Slavia Prague,loan transfer
Departures 08/09,Simon Dawkins,,Leyton Orient,loan transfer
Departures 08/09,Leigh Mills,,Without Club,-
Arrivals 07/08,Darren Bent,,Charlton,£22.28m
Arrivals 07/08,Gareth Bale,,Southampton,£13.23m
Arrivals 07/08,Alan Hutton,,Rangers,£11.70m
Arrivals 07/08,Younès Kaboul,,AJ Auxerre,£10.80m
Arrivals 07/08,Jonathan Woodgate,,Middlesbrough,£9.72m
Arrivals 07/08,Kevin-Prince Boateng,,Hertha BSC,£7.11m
Arrivals 07/08,Adel Taarabt,,Lens,£3.60m
Arrivals 07/08,Chris Gunter,,Cardiff,£2.88m
Arrivals 07/08,Gilberto,,Hertha BSC,£2.52m
Arrivals 07/08,Danny Rose,,Leeds U18,£900Th.
Arrivals 07/08,Leigh Mills,,Brentford,End of loan
Arrivals 07/08,Ben Alnwick,,Leicester,End of loan
Arrivals 07/08,Philip Ifil,,Southampton,End of loan
Arrivals 07/08,Jamie O'Hara,,Millwall,End of loan
Arrivals 07/08,Ben Alnwick,,Luton,End of loan
Arrivals 07/08,Jamie O'Hara,,Tottenham U21,-
Arrivals 07/08,Jake Livermore,,Spurs U18,-
Arrivals 07/08,David Button,,Spurs U18,-
Arrivals 07/08,Simon Dawkins,,Spurs U18,-
Arrivals 07/08,Lee Barnard,,Crewe Alexandra,End of loan
Arrivals 07/08,David Button,,Rochdale,End of loan
Arrivals 07/08,Anthony Gardner,,Everton,End of loan
Arrivals 07/08,Jake Livermore,,MK Dons,End of loan
Arrivals 07/08,Charlie Daniels,,Leyton Orient,End of loan
Arrivals 07/08,Andy Barcham,,Leyton Orient,End of loan
Arrivals 07/08,Paul Stalteri,,Fulham,End of loan
Departures 07/08,Jermain Defoe,,Portsmouth,£8.37m
Departures 07/08,Mido,,Middlesbrough,£7.92m
Departures 07/08,Reto Ziegler,,Sampdoria,£1.80m
Departures 07/08,Wayne Routledge,,Aston Villa,£1.53m
Departures 07/08,Philip Ifil,,Colchester Utd.,£428Th.
Departures 07/08,Mark Yeates,,Colchester Utd.,£248Th.
Departures 07/08,Hossam Ghaly,,Derby,loan transfer
Departures 07/08,Andy Barcham,,Leyton Orient,loan transfer
Departures 07/08,Philip Ifil,,Southampton,loan transfer
Departures 07/08,Ben Alnwick,,Luton,loan transfer
Departures 07/08,Leigh Mills,,Brentford,loan transfer
Departures 07/08,Danny Murphy,,Fulham,free transfer
Departures 07/08,Charlie Daniels,,Leyton Orient,loan transfer
Departures 07/08,Lee Barnard,,Crewe Alexandra,loan transfer
Departures 07/08,Jamie O'Hara,,Millwall,loan transfer
Departures 07/08,Anthony Gardner,,Everton,loan transfer
Departures 07/08,Rodrigo Defendi,,Avellino,free transfer
Departures 07/08,Rob Burch,,Sheff Wed,free transfer
Departures 07/08,Ben Alnwick,,Leicester,loan transfer
Departures 07/08,Lee Barnard,,Southend United,free transfer
Departures 07/08,David Button,,Rochdale,loan transfer
Departures 07/08,Jake Livermore,,MK Dons,loan transfer
Departures 07/08,Paul Stalteri,,Fulham,loan transfer
Arrivals 06/07,Dimitar Berbatov,,Bay. Leverkusen,£14.13m
Arrivals 06/07,Didier Zokora,,Saint-Étienne,£11.12m
Arrivals 06/07,Pascal Chimbonda,,Wigan,£9.00m
Arrivals 06/07,Mido,,AS Roma,£6.08m
Arrivals 06/07,Ricardo Rocha,,Benfica,£4.50m
Arrivals 06/07,Benoît Assou-Ekotto,,Lens,£4.50m
Arrivals 06/07,Steed Malbranque,,Fulham,£2.70m
Arrivals 06/07,Ben Alnwick,,Sunderland,£1.35m
Arrivals 06/07,Dorian Dervite,,LOSC Lille U19,£1.35m
Arrivals 06/07,Radek Cerny,,Slavia Prague,£180Th.
Arrivals 06/07,Mark Hughes,,Everton U21,free transfer
Arrivals 06/07,Adel Taarabt,,Lens,loan transfer
Arrivals 06/07,Charlie Daniels,,Chesterfield FC,End of loan
Arrivals 06/07,Mark Yeates,,Leicester,End of loan
Arrivals 06/07,Rob Burch,,Barnet,End of loan
Arrivals 06/07,Mark Yeates,,Hull City,End of loan
Arrivals 06/07,Márton Fülöp,,Sunderland,End of loan
Departures 06/07,Michael Carrick,,Man Utd,£24.48m
Departures 06/07,Calum Davenport,,West Ham,£3.78m
Departures 06/07,Andy Reid,,Charlton,£3.78m
Departures 06/07,Stephen Kelly,,Birmingham,£1.44m
Departures 06/07,Márton Fülöp,,Sunderland,£675Th.
Departures 06/07,Rodrigo Defendi,,AS Roma,Loan fee:£338Th.
Departures 06/07,Dean Marney,,Hull City,£293Th.
Departures 06/07,Márton Fülöp,,Sunderland,loan transfer
Departures 06/07,Wayne Routledge,,Fulham,loan transfer
Departures 06/07,Mark Yeates,,Hull City,loan transfer
Departures 06/07,Johnnie Jackson,,Colchester Utd.,free transfer
Departures 06/07,Mounir El Hamdaoui,,Willem II,free transfer
Departures 06/07,Goran Bunjevcevic,,ADO Den Haag,free transfer
Departures 06/07,Charlie Daniels,,Chesterfield FC,loan transfer
Departures 06/07,Mark Yeates,,Leicester,loan transfer
Departures 06/07,Rob Burch,,Barnet,loan transfer
Departures 06/07,Mark Hughes,,Northampton,free transfer
Departures 06/07,Edgar Davids,,Ajax,free transfer
Departures 06/07,Reto Ziegler,,Sampdoria,loan transfer
Departures 06/07,Noureddine Naybet,,Retired,-
Departures 06/07,Adel Taarabt,,Lens,End of loan
Arrivals 05/06,Jermaine Jenas,,Newcastle,£13.50m
Arrivals 05/06,Tom Huddlestone,,Derby,£4.23m
Arrivals 05/06,Grzegorz Rasiak,,Derby,£3.15m
Arrivals 05/06,Danny Murphy,,Charlton,£2.89m
Arrivals 05/06,Hossam Ghaly,,Feyenoord,£2.70m
Arrivals 05/06,Wayne Routledge,,Crystal Palace,£2.70m
Arrivals 05/06,Young-pyo Lee,,PSV Eindhoven,£1.80m
Arrivals 05/06,Aaron Lennon,,Leeds,£1.08m
Arrivals 05/06,Rodrigo Defendi,,Cruzeiro,£810Th.
Arrivals 05/06,Teemu Tainio,,AJ Auxerre,free transfer
Arrivals 05/06,Paul Stalteri,,Werder Bremen,free transfer
Arrivals 05/06,Edgar Davids,,Inter,free transfer
Arrivals 05/06,Tom Huddlestone,,Wolves,End of loan
Arrivals 05/06,Calum Davenport,,Norwich,End of loan
Arrivals 05/06,Johnnie Jackson,,Derby,End of loan
Arrivals 05/06,Rob Burch,,Bristol City,End of loan
Arrivals 05/06,Dean Marney,,Norwich,End of loan
Arrivals 05/06,Reto Ziegler,,Hamburger SV,End of loan
Arrivals 05/06,Charlie Daniels,,Spurs U18,-
Arrivals 05/06,Tommy Forecast,,Spurs U18,-
Arrivals 05/06,Andy Barcham,,Spurs U18,-
Arrivals 05/06,Wayne Routledge,,Portsmouth,End of loan
Arrivals 05/06,Mounir El Hamdaoui,,Derby,End of loan
Arrivals 05/06,Mark Yeates,,Colchester Utd.,End of loan
Arrivals 05/06,Philip Ifil,,Millwall,End of loan
Departures 05/06,Frédéric Kanouté,,Sevilla FC,£5.85m
Departures 05/06,Simon Davies,,Everton,£4.73m
Departures 05/06,Grzegorz Rasiak,,Southampton,£2.70m
Departures 05/06,Erik Edman,,Stade Rennais,£2.70m
Departures 05/06,Thimothée Atouba,,Hamburger SV,£2.25m
Departures 05/06,Michael Brown,,Fulham,£2.07m
Departures 05/06,Reto Ziegler,,Hamburger SV,Loan fee:£90Th.
Departures 05/06,Philip Ifil,,Millwall,loan transfer
Departures 05/06,Mounir El Hamdaoui,,Derby,loan transfer
Departures 05/06,Calum Davenport,,Norwich,loan transfer
Departures 05/06,Mark Yeates,,Colchester Utd.,loan transfer
Departures 05/06,Johnnie Jackson,,Derby,loan transfer
Departures 05/06,Rob Burch,,Bristol City,loan transfer
Departures 05/06,Dean Marney,,Norwich,loan transfer
Departures 05/06,Spase Dilevski,,Brisbane Roar,free transfer
Departures 05/06,Rodrigo Defendi,,Udinese,loan transfer
Departures 05/06,Wayne Routledge,,Portsmouth,loan transfer
Departures 05/06,Márton Fülöp,,Coventry,loan transfer
Departures 05/06,Tom Huddlestone,,Wolves,loan transfer
Departures 05/06,Noé Pamarot,,Portsmouth,?
Departures 05/06,Gavin Kelly,,Scarborough Athletic,?
Departures 05/06,Reto Ziegler,,Wigan,loan transfer
Departures 05/06,Sean Davis,,Portsmouth,?
Departures 05/06,Pedro Mendes,,Portsmouth,?
Departures 05/06,Edson,,Tottenham U21,-
Arrivals 04/05,Andy Reid,,Nottm Forest,£7.20m
Arrivals 04/05,Michael Dawson,,Nottm Forest,£6.30m
Arrivals 04/05,Sean Davis,,Fulham,£4.68m
Arrivals 04/05,Thimothée Atouba,,FC Basel,£4.05m
Arrivals 04/05,Michael Carrick,,West Ham,£3.69m
Arrivals 04/05,Pedro Mendes,,FC Porto,£2.70m
Arrivals 04/05,Paul Robinson,,Leeds,£2.70m
Arrivals 04/05,Noé Pamarot,,OGC Nice,£2.16m
Arrivals 04/05,Mido,,AS Roma,Loan fee:£1.80m
Arrivals 04/05,Erik Edman,,Heerenveen,£1.80m
Arrivals 04/05,Calum Davenport,,Coventry,£1.62m
Arrivals 04/05,Reto Ziegler,,Grasshoppers,£900Th.
Arrivals 04/05,Noureddine Naybet,,Dep. La Coruña,£900Th.
Arrivals 04/05,Mounir El Hamdaoui,,Excelsior,£675Th.
Arrivals 04/05,Márton Fülöp,,MTK Budapest,£675Th.
Arrivals 04/05,Radek Cerny,,Slavia Prague,Loan fee:£360Th.
Arrivals 04/05,Leigh Mills,,Swindon U18,£203Th.
Arrivals 04/05,Edson,,PSV Eindhoven,free transfer
Arrivals 04/05,Spase Dilevski,,PSV Eindhoven,free transfer
Arrivals 04/05,David Limbersky,,Viktoria Plzen,loan transfer
Arrivals 04/05,Lee Barnard,,Leyton Orient,End of loan
Arrivals 04/05,Dean Marney,,Gillingham FC,End of loan
Arrivals 04/05,Kasey Keller,,Southampton,End of loan
Arrivals 04/05,Rob Burch,,West Ham,End of loan
Arrivals 04/05,Rohan Ricketts,,Coventry,End of loan
Arrivals 04/05,Calum Davenport,,West Ham,End of loan
Arrivals 04/05,Rob Burch,,Stevenage,End of loan
Arrivals 04/05,Mark Yeates,,Swindon Town,End of loan
Arrivals 04/05,Philip Ifil,,Spurs U18,-
Arrivals 04/05,Johnnie Jackson,,Watford,End of loan
Arrivals 04/05,Lee Barnard,,Northampton,End of loan
Arrivals 04/05,Rob Burch,,Stevenage,End of loan
Arrivals 04/05,Márton Fülöp,,Chesterfield FC,End of loan
Arrivals 04/05,Calum Davenport,,Southampton,End of loan
Departures 04/05,Hélder Postiga,,FC Porto,£6.75m
Departures 04/05,Stephen Carr,,Newcastle,£2.70m
Departures 04/05,Calum Davenport,,West Ham,loan transfer
Departures 04/05,Gary Doherty,,Norwich,free transfer
Departures 04/05,David Galbraith,,Northampton,free transfer
Departures 04/05,Lars Hirschfeld,,Dundee United,free transfer
Departures 04/05,Mark Yeates,,Swindon Town,loan transfer
Departures 04/05,Rob Burch,,Stevenage,loan transfer
Departures 04/05,Ben Bowditch,,Colchester Utd.,free transfer
Departures 04/05,Sergiy Rebrov,,West Ham,free transfer
Departures 04/05,Danny Foster,,Dag & Red FC,free transfer
Departures 04/05,Rohan Ricketts,,Coventry,loan transfer
Departures 04/05,Kasey Keller,,Southampton,loan transfer
Departures 04/05,Mauricio Taricco,,West Ham,free transfer
Departures 04/05,Lee Barnard,,Leyton Orient,loan transfer
Departures 04/05,Dean Marney,,Gillingham FC,loan transfer
Departures 04/05,Rob Burch,,West Ham,loan transfer
Departures 04/05,Johnnie Jackson,,Watford,loan transfer
Departures 04/05,Calum Davenport,,Southampton,loan transfer
Departures 04/05,Milenko Acimovic,,LOSC Lille,free transfer
Departures 04/05,Darren Anderton,,Birmingham,free transfer
Departures 04/05,Christian Ziege,,Bor. M'gladbach,free transfer
Departures 04/05,Lee Barnard,,Northampton,loan transfer
Departures 04/05,Márton Fülöp,,Chesterfield FC,loan transfer
Departures 04/05,Rohan Ricketts,,Wolves,free transfer
Departures 04/05,Rob Burch,,Stevenage,loan transfer
Departures 04/05,Edson,,ADO Den Haag,loan transfer
Departures 04/05,Kasey Keller,,Bor. M'gladbach,free transfer
Departures 04/05,Mbulelo Mabizela,,Vålerenga,free transfer
Departures 04/05,Jamie Redknapp,,Southampton,free transfer
Departures 04/05,Gustavo Poyet,,Retired,-
Departures 04/05,David Limbersky,,Viktoria Plzen,End of loan
Departures 04/05,Dean Richards,,Retired,-
Arrivals 03/04,Jermain Defoe,,West Ham,£9.45m
Arrivals 03/04,Hélder Postiga,,FC Porto,£8.10m
Arrivals 03/04,Frédéric Kanouté,,West Ham,£4.73m
Arrivals 03/04,Mbulelo Mabizela,,Orlando Pirates,£2.07m
Arrivals 03/04,Bobby Zamora,,Brighton,£1.80m
Arrivals 03/04,Michael Brown,,Sheff Utd,£630Th.
Arrivals 03/04,Paul Konchesky,,Charlton,loan transfer
Arrivals 03/04,Stéphane Dalmat,,Inter,loan transfer
Arrivals 03/04,Lee Barnard,,Stevenage,End of loan
Arrivals 03/04,David Galbraith,,Spurs U18,-
Arrivals 03/04,Lars Hirschfeld,,Gillingham FC,End of loan
Arrivals 03/04,Dean Marney,,QPR,End of loan
Arrivals 03/04,Mark Yeates,,Spurs U18,-
Arrivals 03/04,Ben Bowditch,,Spurs U18,-
Arrivals 03/04,Mark Yeates,,Brighton,End of loan
Arrivals 03/04,Stephen Kelly,,Watford,End of loan
Arrivals 03/04,Johnnie Jackson,,Coventry,End of loan
Departures 03/04,Jonathan Blondel,,Club Brugge,£1.08m
Departures 03/04,Ben Thatcher,,Leicester,£405Th.
Departures 03/04,Chris Perry,,Charlton,£90Th.
Departures 03/04,Dean Marney,,QPR,loan transfer
Departures 03/04,Johnnie Jackson,,Coventry,loan transfer
Departures 03/04,Mark Yeates,,Brighton,loan transfer
Departures 03/04,Stephen Kelly,,Watford,loan transfer
Departures 03/04,John Sutton,,Raith Rovers,free transfer
Departures 03/04,Neil Sullivan,,Chelsea,free transfer
Departures 03/04,Steffen Iversen,,Wolves,free transfer
Departures 03/04,Alton Thelwell,,Hull City,free transfer
Departures 03/04,Steffen Freund,,1.FC K'lautern,free transfer
Departures 03/04,Teddy Sheringham,,Portsmouth,free transfer
Departures 03/04,Lee Barnard,,Stevenage,loan transfer
Departures 03/04,Lars Hirschfeld,,Gillingham FC,loan transfer
Departures 03/04,Bobby Zamora,,West Ham,free transfer
Departures 03/04,Steven Ferguson,,Woking FC,?
Departures 03/04,Matthew Etherington,,West Ham,?
Departures 03/04,Milenko Acimovic,,LOSC Lille,loan transfer
Departures 03/04,Paul Konchesky,,Charlton,End of loan
Arrivals 02/03,Robbie Keane,,Leeds,£9.45m
Arrivals 02/03,Lars Hirschfeld,,Calgary Storm,free transfer
Arrivals 02/03,Diego Bortolozzo,,Treviso,free transfer
Arrivals 02/03,Rohan Ricketts,,Arsenal,free transfer
Arrivals 02/03,Jamie Redknapp,,Liverpool,free transfer
Arrivals 02/03,Jonathan Blondel,,Exc. Mouscron,free transfer
Arrivals 02/03,Milenko Acimovic,,Red Star,free transfer
Arrivals 02/03,Kazuyuki Toda,,Shimizu S-Pulse,loan transfer
Arrivals 02/03,Gavin Kelly,,Kettering Town,End of loan
Arrivals 02/03,Dean Marney,,Swindon Town,End of loan
Arrivals 02/03,Stephen Kelly,,QPR,End of loan
Arrivals 02/03,Johnnie Jackson,,Colchester Utd.,End of loan
Arrivals 02/03,Rob Burch,,Woking FC,End of loan
Arrivals 02/03,Dean Marney,,Spurs U18,-
Arrivals 02/03,Stephen Kelly,,Spurs U18,-
Arrivals 02/03,Lars Hirschfeld,,Luton,End of loan
Arrivals 02/03,John Sutton,,Spurs U18,-
Arrivals 02/03,Lee Barnard,,Spurs U18,-
Arrivals 02/03,Stephen Kelly,,Southend United,End of loan
Arrivals 02/03,John Sutton,,Carlisle United,End of loan
Arrivals 02/03,John Sutton,,Swindon Town,End of loan
Arrivals 02/03,Lee Barnard,,Exeter City,End of loan
Arrivals 02/03,Johnnie Jackson,,Swindon Town,End of loan
Departures 02/03,Stephen Clemence,,Birmingham,£1.22m
Departures 02/03,Dean Marney,,Swindon Town,loan transfer
Departures 02/03,Sergiy Rebrov,,Fenerbahce,loan transfer
Departures 02/03,John Sutton,,Swindon Town,loan transfer
Departures 02/03,Lee Barnard,,Exeter City,loan transfer
Departures 02/03,Gavin Kelly,,Kettering Town,loan transfer
Departures 02/03,John Sutton,,Carlisle United,loan transfer
Departures 02/03,John Piercy,,Brighton,free transfer
Departures 02/03,Johnnie Jackson,,Swindon Town,loan transfer
Departures 02/03,Chris Armstrong,,Bolton,free transfer
Departures 02/03,Öyvind Leonhardsen,,Aston Villa,free transfer
Departures 02/03,Stephen Kelly,,QPR,loan transfer
Departures 02/03,Johnnie Jackson,,Colchester Utd.,loan transfer
Departures 02/03,Rob Burch,,Woking FC,loan transfer
Departures 02/03,Lars Hirschfeld,,Luton,loan transfer
Departures 02/03,Stephen Kelly,,Southend United,loan transfer
Departures 02/03,Les Ferdinand,,West Ham,free transfer
Departures 02/03,Tim Sherwood,,Portsmouth,free transfer
Departures 02/03,Diego Bortolozzo,,Boussu Dour,free transfer
Departures 02/03,Yannick Kamanan,,R. Strasbourg,?
Departures 02/03,Willem Korsten,,Retired,-
Arrivals 01/02,Dean Richards,,Southampton,£10.94m
Arrivals 01/02,Christian Ziege,,Liverpool,£5.85m
Arrivals 01/02,Goran Bunjevcevic,,Red Star,£5.40m
Arrivals 01/02,Gustavo Poyet,,Chelsea,£3.06m
Arrivals 01/02,Teddy Sheringham,,Man Utd,free transfer
Arrivals 01/02,Kasey Keller,,Rayo Vallecano,free transfer
Arrivals 01/02,Dave Beasant,,Portsmouth,free transfer
Arrivals 01/02,Rob Burch,,Spurs U18,-
Arrivals 01/02,Danny Foster,,Spurs U18,-
Arrivals 01/02,Matthew Etherington,,Bradford,End of loan
Departures 01/02,Luke Young,,Charlton,£5.40m
Departures 01/02,Ian Walker,,Leicester,£3.38m
Departures 01/02,Dave Beasant,,Portsmouth,free transfer
Departures 01/02,Sol Campbell,,Arsenal,free transfer
Departures 01/02,Neale Fenn,,Peterborough,free transfer
Departures 01/02,Matthew Etherington,,Bradford,loan transfer
Departures 01/02,Dave McEwen,,QPR,?
Departures 01/02,Luca Digiulioantonio,,Brescello,?
Departures 01/02,Hans Segers,,Retired,-
Arrivals 00/01,Sergiy Rebrov,,Dynamo Kyiv,£16.20m
Arrivals 00/01,Ben Thatcher,,Wimbledon FC,£6.79m
Arrivals 00/01,Steven Ferguson,,East Fife,£180Th.
Arrivals 00/01,Neil Sullivan,,Wimbledon FC,free transfer
Arrivals 00/01,Andy Booth,,Sheff Wed,loan transfer
Arrivals 00/01,Johnnie Jackson,,Spurs U18,-
Arrivals 00/01,Alton Thelwell,,IFK Hässleholm,End of loan
Departures 00/01,Espen Baardsen,,Watford,£1.80m
Departures 00/01,José Dominguez,,1.FC K'lautern,£288Th.
Departures 00/01,Peter Crouch,,QPR,£77Th.
Departures 00/01,John Scales,,Ipswich,free transfer
Departures 00/01,Alton Thelwell,,IFK Hässleholm,loan transfer
Departures 00/01,Allan Nielsen,,Watford,free transfer
Departures 00/01,David Lee,,Southend United,free transfer
Departures 00/01,Mark Gower,,Barnet,£45Th.
Departures 00/01,David Ginola,,Aston Villa,?
Departures 00/01,Justin Edinburgh,,Portsmouth,?
Departures 00/01,Ruel Fox,,West Brom,?
Departures 00/01,Andy Booth,,Sheff Wed,End of loan
Arrivals 99/00,Chris Perry,,Wimbledon FC,£5.40m
Arrivals 99/00,Öyvind Leonhardsen,,Liverpool,£4.05m
Arrivals 99/00,Willem Korsten,,Vitesse,£1.53m
Arrivals 99/00,Anthony Gardner,,Port Vale,£1.35m
Arrivals 99/00,Gary Doherty,,Luton,£1.35m
Arrivals 99/00,Simon Davies,,Peterborough,£945Th.
Arrivals 99/00,Matthew Etherington,,Peterborough,£675Th.
Arrivals 99/00,Dave McEwen,,Dulwich Hamlet FC,?
Arrivals 99/00,Yannick Kamanan,,Le Mans UC 72,?
Arrivals 99/00,John Piercy,,Unknown,?
Arrivals 99/00,Peter Crouch,,Dulwich Hamlet FC,End of loan
Arrivals 99/00,Peter Crouch,,IFK Hässleholm,End of loan
Arrivals 99/00,Allan Nielsen,,Wolves,End of loan
Arrivals 99/00,David Lee,,Spurs U18,-
Departures 99/00,Rory Allen,,Portsmouth,£1.35m
Departures 99/00,Justin Edinburgh,,Portsmouth,Loan fee:£180Th.
Departures 99/00,Paul McVeigh,,Norwich,£90Th.
Departures 99/00,Peter Crouch,,Dulwich Hamlet FC,loan transfer
Departures 99/00,Peter Crouch,,IFK Hässleholm,loan transfer
Departures 99/00,Ian Stonebridge,,Plymouth,free transfer
Departures 99/00,Simon Brown,,Colchester Utd.,free transfer
Departures 99/00,Alan Marriott,,Lincoln City,free transfer
Departures 99/00,Clive Wilson,,Cambridge Utd.,free transfer
Departures 99/00,Andy Sinton,,Wolves,free transfer
Departures 99/00,Paolo Tramezzani,,Pistoiese,?
Departures 99/00,Moussa Saïb,,Al-Nasr,?
Departures 99/00,Allan Nielsen,,Wolves,loan transfer
Departures 99/00,Roger Nilsen,,Grazer AK,?
Departures 99/00,Simon Webb,,Leyton Orient,?
Departures 99/00,Ramon Vega,,Celtic,?
Arrivals 98/99,Tim Sherwood,,Blackburn,£5.40m
Arrivals 98/99,Mauricio Taricco,,Ipswich,£2.39m
Arrivals 98/99,Steffen Freund,,Bor. Dortmund,£1.01m
Arrivals 98/99,Hans Segers,,Wolves,free transfer
Arrivals 98/99,Roger Nilsen,,Sheff Utd,?
Arrivals 98/99,Paolo Tramezzani,,Piacenza,?
Arrivals 98/99,Peter Gain,,Lincoln City,End of loan
Arrivals 98/99,Neale Fenn,,Lincoln City,End of loan
Arrivals 98/99,Mark Gower,,Motherwell FC,End of loan
Arrivals 98/99,Ledley King,,Spurs U18,-
Arrivals 98/99,Ian Stonebridge,,Spurs U18,-
Arrivals 98/99,Alan Marriott,,Spurs U18,-
Arrivals 98/99,Peter Crouch,,Spurs U18,-
Arrivals 98/99,Alton Thelwell,,Spurs U18,-
Arrivals 98/99,Simon Brown,,Kingstonian FC,End of loan
Arrivals 98/99,Neale Fenn,,Swindon Town,End of loan
Departures 98/99,Garry Brady,,Newcastle,£878Th.
Departures 98/99,Colin Calderwood,,Aston Villa,£297Th.
Departures 98/99,Nicola Berti,,Alavés,£180Th.
Departures 98/99,Frode Grodas,,FC Schalke 04,£135Th.
Departures 98/99,Mark Arber,,Barnet,£108Th.
Departures 98/99,Neale Fenn,,Lincoln City,loan transfer
Departures 98/99,Peter Gain,,Lincoln City,loan transfer
Departures 98/99,Mark Gower,,Motherwell FC,loan transfer
Departures 98/99,Simon Brown,,Kingstonian FC,loan transfer
Departures 98/99,Neale Fenn,,Swindon Town,loan transfer
Departures 98/99,Peter Gain,,Lincoln City,£23Th.
Departures 98/99,Dean Austin,,Crystal Palace,?
Departures 98/99,David Howells,,Southampton,?
Departures 98/99,Jürgen Klinsmann,,Career break,-
Arrivals 97/98,Les Ferdinand,,Newcastle,£8.55m
